Date,Price,Open,High,Low,Vol.,Change %
22-08-2016,"1,684.62","1,675.00","1,696.45","1,672.12",320.09K,0.56%
23-08-2016,"1,680.67","1,684.00","1,689.00","1,670.00",148.40K,-0.23%
24-08-2016,"1,716.47","1,684.50","1,742.00","1,670.00",683.70K,2.13%
25-08-2016,"1,732.15","1,723.50","1,749.50","1,721.58",742.68K,0.91%
26-08-2016,"1,718.85","1,742.35","1,742.35","1,696.03",287.81K,-0.77%
29-08-2016,"1,703.17","1,703.00","1,724.50","1,695.00",147.83K,-0.91%
30-08-2016,"1,721.60","1,705.00","1,736.00","1,705.00",149.21K,1.08%
31-08-2016,"1,730.28","1,721.10","1,742.97","1,710.00",289.59K,0.50%
01-09-2016,"1,704.67","1,733.00","1,733.00","1,700.10",177.45K,-1.48%
02-09-2016,"1,677.47","1,700.50","1,718.47","1,671.00",291.32K,-1.60%
06-09-2016,"1,728.55","1,687.50","1,732.00","1,672.17",350.72K,3.05%
07-09-2016,"1,744.47","1,701.00","1,751.75","1,701.00",399.16K,0.92%
08-09-2016,"1,736.05","1,733.50","1,744.22","1,725.00",215.84K,-0.48%
09-09-2016,"1,727.53","1,750.00","1,750.00","1,722.50",153.74K,-0.49%
12-09-2016,"1,713.97","1,700.00","1,724.95","1,685.00",235.32K,-0.78%
14-09-2016,"1,769.95","1,713.50","1,775.00","1,713.42",437.53K,3.27%
15-09-2016,"1,765.80","1,774.97","1,792.12","1,762.50",306.49K,-0.23%
16-09-2016,"1,737.75","1,770.00","1,781.00","1,726.70",312.60K,-1.59%
19-09-2016,"1,705.80","1,737.75","1,743.00","1,700.00",348.16K,-1.84%
20-09-2016,"1,705.25","1,708.00","1,725.47","1,699.50",295.49K,-0.03%
21-09-2016,"1,699.05","1,705.50","1,722.50","1,678.60",363.44K,-0.36%
22-09-2016,"1,700.47","1,709.50","1,717.50","1,688.03",499.37K,0.08%
23-09-2016,"1,710.55","1,714.45","1,730.00","1,687.90",325.01K,0.59%
26-09-2016,"1,708.53","1,722.50","1,724.58","1,698.42",311.48K,-0.12%
27-09-2016,"1,715.62","1,711.05","1,728.00","1,705.92",174.65K,0.41%
28-09-2016,"1,702.10","1,714.90","1,728.00","1,695.45",252.33K,-0.79%
29-09-2016,"1,642.78","1,715.00","1,717.50","1,599.85",336.34K,-3.49%
30-09-2016,"1,682.00","1,640.00","1,693.65","1,625.03",240.41K,2.39%
03-10-2016,"1,742.78","1,698.92","1,761.00","1,690.00",259.36K,3.61%
04-10-2016,"1,737.67","1,742.00","1,742.50","1,718.12",185.64K,-0.29%
05-10-2016,"1,730.25","1,740.00","1,753.00","1,720.25",412.63K,-0.43%
06-10-2016,"1,733.50","1,744.95","1,748.97","1,720.90",118.93K,0.19%
07-10-2016,"1,693.33","1,733.50","1,737.50","1,689.92",337.56K,-2.32%
10-10-2016,"1,688.40","1,695.00","1,705.38","1,685.30",109.50K,-0.29%
13-10-2016,"1,662.72","1,684.50","1,684.50","1,644.50",322.64K,-1.52%
14-10-2016,"1,665.38","1,677.00","1,677.00","1,647.50",141.35K,0.16%
17-10-2016,"1,653.20","1,667.65","1,667.72","1,643.83",216.88K,-0.73%
18-10-2016,"1,632.30","1,653.25","1,660.30","1,622.50",278.54K,-1.26%
19-10-2016,"1,658.45","1,641.95","1,675.00","1,640.00",347.49K,1.60%
20-10-2016,"1,656.58","1,658.50","1,677.50","1,650.50",242.76K,-0.11%
21-10-2016,"1,655.35","1,667.50","1,672.50","1,652.25",127.03K,-0.07%
24-10-2016,"1,653.95","1,635.15","1,664.78","1,635.15",146.43K,-0.08%
25-10-2016,"1,647.67","1,654.20","1,661.33","1,639.97",182.19K,-0.38%
26-10-2016,"1,632.90","1,645.00","1,654.42","1,625.35",175.92K,-0.90%
27-10-2016,"1,606.05","1,625.00","1,634.58","1,597.50",434.05K,-1.64%
28-10-2016,"1,655.97","1,617.00","1,664.50","1,615.88",215.91K,3.11%
30-10-2016,"1,657.85","1,655.97","1,664.00","1,650.58",25.23K,0.11%
01-11-2016,"1,665.28","1,657.50","1,670.00","1,633.97",257.19K,0.45%
02-11-2016,"1,651.30","1,639.00","1,656.97","1,635.50",236.00K,-0.84%
03-11-2016,"1,650.75","1,651.30","1,662.75","1,626.03",258.32K,-0.03%
04-11-2016,"1,651.00","1,650.00","1,690.00","1,611.00",455.15K,0.02%
07-11-2016,"1,651.28","1,664.50","1,674.00","1,642.50",421.83K,0.02%
08-11-2016,"1,617.78","1,639.00","1,650.85","1,607.78",906.76K,-2.03%
09-11-2016,"1,562.10","1,550.00","1,595.85","1,464.50",451.68K,-3.44%
10-11-2016,"1,602.08","1,607.50","1,620.92","1,584.62",274.55K,2.56%
11-11-2016,"1,539.67","1,594.92","1,594.92","1,515.25",432.08K,-3.90%
15-11-2016,"1,464.67","1,532.00","1,532.00","1,390.60",1.16M,-4.87%
16-11-2016,"1,495.50","1,475.00","1,530.00","1,463.17",470.30K,2.10%
17-11-2016,"1,467.53","1,510.00","1,510.00","1,460.00",405.50K,-1.87%
18-11-2016,"1,451.30","1,460.50","1,462.50","1,435.53",581.40K,-1.11%
21-11-2016,"1,447.15","1,452.50","1,464.08","1,438.05",182.36K,-0.29%
22-11-2016,"1,453.03","1,453.05","1,460.00","1,425.97",354.48K,0.41%
23-11-2016,"1,483.88","1,469.50","1,488.00","1,447.50",259.00K,2.12%
24-11-2016,"1,471.28","1,479.00","1,494.00","1,458.00",310.14K,-0.85%
25-11-2016,"1,481.00","1,484.97","1,487.22","1,460.53",175.76K,0.66%
28-11-2016,"1,485.25","1,479.97","1,495.55","1,464.08",178.03K,0.29%
29-11-2016,"1,502.72","1,493.50","1,519.20","1,486.00",208.31K,1.18%
30-11-2016,"1,516.45","1,505.00","1,536.97","1,475.60",474.74K,0.91%
01-12-2016,"1,501.67","1,518.03","1,531.97","1,498.00",188.98K,-0.97%
02-12-2016,"1,488.40","1,497.40","1,507.50","1,482.42",339.41K,-0.88%
